Job Title,Description,District,Work Mode
Auditor en Tasador de Joyas,"Somos una importante Entidad Financiera líder en el producto pignoraticio y microfinanzas, con un portafolio de diversos productos; y actualmente en crecimiento, por lo que requerimos incorporar a la compañía 01 Auditor en Tasador de Joyas que cumplan con el siguiente perfil: REQUISITOS: Profesional con estudios en Administración, Contabilidad, Ingeniería Industrial, Economía, otros. Experiencia 4 años en tasación de joyas en Instituciones financieras. Cursos y certificacion de metales preciosos. Manejo de instrumentos de tasación de metales preciosos. FUNCIONES Aplicar procedimientos de tasación mediante técnicas especializadas para determinar el valor económico de las joyas. Evaluar la autenticidad y características de las piedras preciosas. Identificar daños y desgaste , verificando si ",San Isidro,Presencial
"Programador Full Stack (Java, React)","En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador Full Stack Desarrollar aplicaciones web y mobiles que cumplan buenas practicas de programación y desarrollo seguro (Indispensable) Elaborar documentación técnica resultante de la implementación de requerimientos Especificar, diseñar y mantener mecanismos para almacenar y acceder a datos. Garantizar la integración y despliegue continuo de los requerimientos implementa",San Borja,Presencial
Analista de Imagenes Hospitalarias / Sistemas,"Grupo San Pablo te invita a unirte a su equipo, donde la excelencia, el compromiso y la tecnología de punta se combinan para ofrecer soluciones únicas. Si buscas un entorno dinámico y desafiante. ¡Esta es tu oportunidad de marcar la diferencia en la vida de las personas! Hoy, queremos que seas parte de nuestro grupo. Buscamos un Analista de Imagenes Hospitalarias/ Sistemas para sumarse al Grupo San Pablo y seguir brindando la mejor atención a nuestros pacientes. REQUISITOS: Egresado o Bachiller de las carreras de Ingeniería de Sistemas, Ing.Biomedica, Tecnologo medico o afines Experiencia minima de 1 año en puestos afines Conocimiento del protocolo HL7 y DICOM (deseable) Experiencia en el sector salud obligatorio. HORARIO: Lunes a Viernes de (8:00 am a 6.30 pm) y Sabados (8:00am a 1.30 pm)",Santiago de Surco,Presencial
Desarrollador Backend NodeJs Senior,"Experiencia de 5 años desarrollando en la especialidad de servicios de Tecnologías de Información y Staff Augmentation con casi una década de operaciones en Perú orientadas a brindar soluciones tecnológicas de primer nivel a importantes corporaciones nacionales y multinacionales. Actualmente nos encontramos en busqueda el un Desarrollador Backend para trabajar con una empresa del sector bancario. ] ¡ Aplica y unete a nuestro equipo ! Requisitos: Experiencia de 5 años desarrollando en la especialidad . Competencia técnica medio en Ingeniería de Software, Sistemas, Informática o afines, desarrollo de aplicaciones Backend. Competencia técnica de patrón de diseño de software orientado a objetos y UML. Buenas prácticas de desarrollo y puede diseñar una aplicación por sí solo en un lenguaje de a",Lima,Híbrido
ANALISTA PROGRAMADOR PHP,"Somos Canvia ¡Una empresa que innova y reinventa! ¡Buscamos a una Analista Programador PHP con ADN de innovación! Top de razones para trabajar con nosotros CANVIA es una de las empresas más grandes del sector IT en el Perú y nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital en múltiples industrias. Nos mueve la reinvención, hacer las cosas diferentes a través de buenas ideas, cuestionar el statu quo. Años de experiencia desarrollando y ejecutando soluciones con un equipo humano valioso y que suma diferentes capacidades, nuevos modelos de negocios a través del uso de tecnologías digitales y sistemas de gestión del cambio soportados en una cultura Lean-Agile. ¿Qué retos tendrás como Analista programador? Entender, anal",Lima,Híbrido
Desarrollador(a) - Minería - Lurín,"Somos una empresa subsidiaria de la Corporación Marubeni, fundada en Japón en 1856, es una de las principales corporaciones a nivel mundial que cuenta con presencia efectiva en más de 65 países. En julio del 2011, Marubeni adquiere HCMA y se funda ZAMINE PERU. Desde nuestros inicios somos distribuidores autorizados de HITACHI fabricante de Palas Hidráulicas y Camiones Eléctricos para minería. Asimismo, heredado de HCMA, contamos con experiencia de casi 22 años brindando servicios y suministros especializados, los cuales se diversificaron acorde a las necesidades de cada operación minera e industrial. Además, ofrecemos soluciones y productos para minería subterránea y de superficie a través de nuestra oferta de equipos y consumibles. En Zamine buscamos la mejora continua con el fin de cumpl",Lurín,Presencial
Desarrollador Fullstack,"Nos encontramos en búsqueda de un Desarrollador que tendrá como principales funciones: Diseño y desarrollo de aplicaciones de software internas. Entender y documentar los requisitos del negocio, traduciéndolos en especificaciones técnicas para el desarrollo de soluciones de software. Atender requerimientos e incidentes relacionados al desarrollo de aplicaciones Web. Diseñar, implementar y mantener bases de datos, asegurando su integridad, rendimiento y seguridad. Pruebas y Aseguramiento de la Calidad de las aplicaciones desarrolladas. Proveer capacitación y soporte técnico a los usuarios para facilitar la adopción y el uso eficaz de las soluciones desarrolladas. Documentar el análisis y diseño de las aplicaciones de negocio desarrolladas. Requisitos: Experiencia de 5 años realizando las fu",San Isidro,Híbrido
Analista de Programación,"Somos una Entidad Financiera, con un portafolio de diversos productos; por lo que requerimos incorporar en nuestra planilla Analista de Programación: REQUISITOS: Desarrollo de aplicaciones móviles con tecnología Swift (iOS), UIKit. Conocimientos de UI/UX: Capacidad para diseñar interfaces atractivas y fáciles de usar con figma. Manejo de errores, consumo de componentes de integración APIs. Conocimientos en implementación de backend con .Net (Deseable) Conocimientos en consultas a base de datos SQL Server. Conocimientos en arquitectura y patrones de diseño. Conocimientos de Scrum. Buenas prácticas de programación. FUNCIONES Responsable del análisis, diseño, construcción de nuevos aplicativos y/o mantenimiento a aplicativos ya existentes. Desarrollar documentación técnica de los programas de",San Isidro,Presencial
Programador BMS o SCADA,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) (contar con certificación o curso en alguno de estos lenguajes de programación). ",Lima,Presencial
Analista Desarrollador Full -Stack,"REQUISITOS: Profesional de las carreras de Ingeniería de Sistemas, Industrial o carreras afines. Experiencia mínima: 2 años como desarrollador Fullstack, manejando base de datos SQL Server, aplicaciones en .NET Framework, NetCore, Api Rest Full. Experiencia MVC Asp.net, WinForms. Experiencia mínima 2 años de computación en la nube bajo plataforma Amazon AWS Manejo avanzado de SQL Server, experiencia en BD postgres DESEABLE: Conocimientos de algún software de manejo de versiones (GIT, TFS) Conocimientos de HTML5, BOOTSTRAP 4.x / MATERIALIZE, CSS3, JSON, Jquery, Ajax, XML, etc. Conocimientos intermedios de Netcore a nivel de backend(Apis) Conocimiento de Angular, en desarrollo y despliegue de Api's RestFull, SOAP, JSON. Conocimiento de desarrollo de agentes IA e integraciones FUNCIONES: Lide",Lima,Presencial
